OG_ID,analysis_paml
OG0010854,paml_selected
OG0010884,paml_selected
OG0010903,paml_selected
OG0010909,paml_selected
OG0010981,paml_selected
OG0010984,paml_selected
OG0010997,paml_selected
OG0011002,paml_selected
OG0011003,paml_selected
OG0011012,paml_selected
OG0011016,paml_selected
OG0011017,paml_selected
OG0011034,paml_selected
OG0011041,paml_selected
OG0011043,paml_selected
OG0011059,paml_selected
OG0011067,paml_selected
OG0011071,paml_selected
OG0011080,paml_selected
OG0011084,paml_selected
OG0011099,paml_selected
OG0011110,paml_selected
OG0011121,paml_selected
OG0011125,paml_selected
OG0011233,paml_selected
OG0011241,paml_selected
OG0011288,paml_selected
OG0011301,paml_selected
OG0011308,paml_selected
OG0011310,paml_selected
OG0011317,paml_selected
OG0011328,paml_selected
OG0011335,paml_selected
OG0011352,paml_selected
OG0011358,paml_selected
OG0011376,paml_selected
OG0011401,paml_selected
OG0011412,paml_selected
OG0011414,paml_selected
OG0011420,paml_selected
OG0011423,paml_selected
OG0011440,paml_selected
OG0011442,paml_selected
OG0011468,paml_selected
OG0011514,paml_selected
OG0011515,paml_selected
OG0011525,paml_selected
OG0011526,paml_selected
OG0011536,paml_selected
OG0011553,paml_selected
OG0011556,paml_selected
OG0011564,paml_selected
OG0011567,paml_selected
OG0011568,paml_selected
OG0011580,paml_selected
OG0011586,paml_selected
OG0011589,paml_selected
